sequence_id	protein_count	time	method
1033991.SAMN02769652	4243	85.69	pyhmmer
1034345.SAMEA2272806	1929	39.74	pyhmmer
1034346.PRJEA70545	3446	69.12	pyhmmer
1034347.PRJEA68337	4884	96.05	pyhmmer
1034769.SAMN02441697	5871	118.98	pyhmmer
1034807.SAMEA3138411	2867	58.03	pyhmmer
1034808.SAMN02469901	803	19.11	pyhmmer
1034943.SAMEA2610544	3767	74.36	pyhmmer
1035188.SAMN00621708	2390	48.02	pyhmmer
1035189.SAMN00621709	2144	42.28	pyhmmer
1035193.SAMN02436687	3232	63.06	pyhmmer
1035195.SAMN02436928	2823	55.42	pyhmmer
1035197.SAMN02436797	2316	45.97	pyhmmer
1035707.SAMN05216552	7053	142.49	pyhmmer
1035839.SAMN02393707	2005	40.67	pyhmmer
1035.SAMEA3146256	4068	81.42	pyhmmer
1036181.SAMN05421756	4424	87.51	pyhmmer
103621.SAMN03197959	2130	43.89	pyhmmer
1036672.SAMN01940915	3873	79.07	pyhmmer
1036674.SAMN02469973	2299	46.76	pyhmmer
1036779.SAMN04515666	5922	118.38	pyhmmer
1036780.SAMN05421844	5006	102.17	pyhmmer
103690.SAMD00061094	5368	107.24	pyhmmer
103733.SAMN02645315	9340	189.51	pyhmmer
1037410.SAMN02469897	614	15.19	pyhmmer
1038014.SAMN04487910	4647	93.3	pyhmmer
103817.SAMN04226596	3153	63.82	pyhmmer
103855.SAMN03790813	4559	92.58	pyhmmer
1038856.SAMN05366384	3055	60.7	pyhmmer
1038858.SAMN02440776	5217	105.98	pyhmmer
1038859.SAMN02441128	7499	149.74	pyhmmer
1038860.SAMN02441450	9465	188.14	pyhmmer
1038862.SAMN02441026	8418	169.8	pyhmmer
1038867.SAMN02440715	8327	167.94	pyhmmer
1038869.SAMN02440713	7577	150.57	pyhmmer
104087.SAMN06102480	5481	110.13	pyhmmer
1040986.SAMN02440597	6822	137.59	pyhmmer
1040987.SAMN02597203	6091	124.15	pyhmmer
1040989.SAMN02441123	8103	163.95	pyhmmer
104099.SAMN03799295	2507	50.48	pyhmmer
104102.SAMN02849419	3662	72.55	pyhmmer
1041139.SAMN02256420	6477	129.96	pyhmmer
1041146.SAMN02441564	7365	147.97	pyhmmer
1041147.SAMN02441532	6415	126.41	pyhmmer
1041159.SAMN02597201	5889	119.43	pyhmmer
1041504.SAMD00016607	1346	28.67	pyhmmer
1041522.SAMN06760893	5307	105.17	pyhmmer
1041826.SAMN02603612	2642	53.09	pyhmmer
1041930.SAMN02603117	2455	48.8	pyhmmer
1041938.SAMN02954344	1987	40.87	pyhmmer
1041939.SAMN02954344	1756	35.39	pyhmmer
1042156.SAMD00060994	2619	53.51	pyhmmer
1042163.SAMN02469848	4509	90.22	pyhmmer
1042326.SAMN02597175	6315	130.26	pyhmmer
1042376.SAMN02470154	2836	58.36	pyhmmer
1042377.SAMN02470156	3215	65.62	pyhmmer
104268.SAMN05444344	2966	60.04	pyhmmer
104270.SAMD00050834	3747	73.8	pyhmmer
1042877.SAMN02603471	2133	43.11	pyhmmer
1043205.SAMN02471205	3179	64.5	pyhmmer
104336.SAMN03256325	3324	66.35	pyhmmer
104336.SAMN06392749	3523	71.39	pyhmmer
1043493.SAMN05421637	2746	55.64	pyhmmer
1044.SAMN02737001	3219	63.81	pyhmmer
1045009.SAMN02469456	3045	60.51	pyhmmer
1045558.SAMN05216175	4020	81.0	pyhmmer
1045773.SAMN05216555	3671	72.96	pyhmmer
1045774.SAMN05421872	5063	101.85	pyhmmer
1045775.SAMN05216378	5840	117.94	pyhmmer
1045854.SAMN02603132	1335	28.55	pyhmmer
1045855.SAMN02603133	3149	62.77	pyhmmer
1045877.SAMN03421272	3279	64.84	pyhmmer
104623.SAMN02470747	4413	88.27	pyhmmer
104628.SAMD00047008	1650	33.66	pyhmmer
1046627.SAMN02469766	3095	60.73	pyhmmer
104663.SAMN04488121	6851	137.85	pyhmmer
1046714.SAMN02472144	3381	69.85	pyhmmer
1046724.SAMN02256466	3636	72.74	pyhmmer
1046965.SAMN02441402	1806	36.51	pyhmmer
1046972.SAMN02441263	1850	37.57	pyhmmer
1046982.SAMN02441727	2352	50.07	pyhmmer
1047003.SAMN02441729	543	12.65	pyhmmer
1047013.SAMN02440394	2629	52.04	pyhmmer
1047055.SAMN02441601	2029	41.4	pyhmmer
1048205.SAMN03769207	6725	135.3	pyhmmer
1048260.SAMN02603870	2471	49.18	pyhmmer
1048339.SAMN02261321	5183	105.15	pyhmmer
1048340.SAMN05444487	3150	63.39	pyhmmer
1048380.SAMD00055724	4700	92.5	pyhmmer
1048830.SAMN02469898	981	22.38	pyhmmer
1048834.SAMN02603470	3208	63.71	pyhmmer
1048983.SAMN02739847	4341	86.15	pyhmmer
1049789.SAMN02436587	4205	84.04	pyhmmer
1049790.SAMN02436595	4264	83.74	pyhmmer
1049970.SAMN02436507	4238	84.88	pyhmmer
1049971.SAMN02436419	3954	77.87	pyhmmer
1050174.SAMN03462986	2465	48.75	pyhmmer
1050201.SAMN02261259	1737	35.51	pyhmmer
1050202.SAMN02261292	3881	80.87	pyhmmer
1050720.SAMN02469870	4793	94.56	pyhmmer
1051072.SAMN02603034	2087	42.45	pyhmmer
1051646.SAMN02940924	4455	89.7	pyhmmer
1051973.SAMN04521220	4804	95.9	pyhmmer
105219.SAMN03295199	4301	86.17	pyhmmer
1052260.SAMN05660199	4573	92.65	pyhmmer
1052801.SAMN02441387	1515	31.32	pyhmmer
1052810.SAMN02441744	1652	35.53	pyhmmer
1053648.SAMN02604250	116	4.4	pyhmmer
105420.SAMD00022875	7645	152.02	pyhmmer
1054213.SAMN02299459	5289	109.34	pyhmmer
1054217.SAMN02603168	1528	30.52	pyhmmer
1054860.SAMN02261248	6729	134.83	pyhmmer
1054996.SAMN05444414	3970	80.63	pyhmmer
1055526.PRJNA69825	2069	41.15	pyhmmer
105559.SAMN02598531	2861	58.11	pyhmmer
1055723.SAMN05216293	4048	79.78	pyhmmer
1055815.SAMN02597462	2999	60.04	pyhmmer
1056495.SAMN02261426	1478	30.51	pyhmmer
1056816.SAMN02584923	7727	152.6	pyhmmer
1056820.SAMN02256427	4400	90.36	pyhmmer
1057002.SAMN02261311	6451	129.82	pyhmmer
1058.SAMN05421783	4875	96.5	pyhmmer
1061.SAMN04166217	3350	67.75	pyhmmer
106370.SAMN02199398	4499	88.78	pyhmmer
1064535.SAMEA2272734	2220	44.83	pyhmmer
106592.SAMN02781308	3839	75.58	pyhmmer
106592.SAMN03838273	6606	134.33	pyhmmer
106592.SAMN05323829	6411	128.74	pyhmmer
106634.SAMN03571539	2672	54.05	pyhmmer
106648.SAMD00018636	4557	90.35	pyhmmer
106649.SAMD00018638	4572	90.85	pyhmmer
106654.SAMN06650244	3795	76.08	pyhmmer
1068975.SAMN02440712	3676	75.59	pyhmmer
1068978.SAMN02777954	7074	142.34	pyhmmer
1068980.SAMN02261308	8530	171.55	pyhmmer
1069080.SAMN02261323	1913	39.25	pyhmmer
1069081.SAMN05660197	1941	40.1	pyhmmer
1069083.SAMN02261307	1373	29.26	pyhmmer
1069220.SAMN06651658	3862	77.51	pyhmmer
1069448.SAMN02745916	5197	104.63	pyhmmer
1069534.SAMN02603606	1862	38.2	pyhmmer
1069536.SAMN02471147	2668	53.49	pyhmmer
1069642.SAMN02604232	3738	74.2	pyhmmer
1070130.SAMEA3725906	461	11.0	pyhmmer
1070319.SAMEA2272654	1475	30.49	pyhmmer
1070870.SAMN05444351	4571	92.65	pyhmmer
1071054.SAMN03406599	4515	89.26	pyhmmer
1071061.SAMN03273304	3924	78.97	pyhmmer
1071072.SAMN02469742	5249	105.79	pyhmmer
1071085.SAMN02469738	2822	56.06	pyhmmer
1071400.SAMN02603054	2314	47.67	pyhmmer
1071679.SAMN02671719	5938	119.61	pyhmmer
1071918.SAMN05421544	2134	42.13	pyhmmer
1072256.SAMN03480647	2163	44.11	pyhmmer
1072467.SAMN02604108	572	13.45	pyhmmer
1072583.SAMN02471366	3897	78.47	pyhmmer
1072685.SAMN02940631	1454	30.95	pyhmmer
1073325.SAMN05444483	3481	69.85	pyhmmer
1073327.SAMN04488108	4033	82.13	pyhmmer
1073328.SAMN05216294	3340	66.92	pyhmmer
1073353.SAMN02469328	2224	43.49	pyhmmer
1073362.SAMN00103446	2096	42.12	pyhmmer
1073376.SAMN01162081	2765	55.57	pyhmmer
1073423.SAMN04488700	2136	42.98	pyhmmer
1073574.SAMD00041783	3796	76.67	pyhmmer
1073842.SAMN04403367	4045	80.91	pyhmmer
1073996.SAMN05444271	3434	67.52	pyhmmer
1073999.SAMN03938712	3839	76.33	pyhmmer
1074467.SAMN02983013	2337	47.56	pyhmmer
1074488.SAMN02470219	2851	56.78	pyhmmer
1074889.SAMN02604332	540	12.62	pyhmmer
1075090.SAMD00041822	4691	94.71	pyhmmer
1075399.SAMN02604251	545	12.84	pyhmmer
1075402.SAMN04026263	4635	91.69	pyhmmer
1075417.SAMN05421823	5676	116.91	pyhmmer
1075768.SAMN02261310	5331	107.67	pyhmmer
107635.SAMN02597193	4611	92.12	pyhmmer
107636.SAMN02746043	4801	95.07	pyhmmer
107637.SAMN02841227	4739	94.39	pyhmmer
1076414.SAMN04407485	4730	92.86	pyhmmer
1076525.SAMN02440895	3589	72.48	pyhmmer
1076549.SAMN05907788	4498	91.86	pyhmmer
1076550.SAMN03031199	3795	76.52	pyhmmer
1076550.SAMN05907793	4986	100.67	pyhmmer
1076551.SAMN05907794	3765	75.7	pyhmmer
1076588.SAMD00060997	2812	57.64	pyhmmer
1076596.SAMN04396916	2534	51.45	pyhmmer
1076937.SAMN04488120	2509	50.81	pyhmmer
1077144.SAMN02470218	3152	63.43	pyhmmer
1077464.SAMN03334904	1796	36.81	pyhmmer
1077464.SAMN06705629	1751	36.75	pyhmmer
1077464.SAMN06705632	1780	37.13	pyhmmer
1077464.SAMN06705634	1786	37.86	pyhmmer
1077675.SAMN05420586	2824	56.34	pyhmmer
1077936.SAMN05421545	3901	78.74	pyhmmer
1077947.SAMN05216227	3818	77.74	pyhmmer
1077972.SAMD00041813	4529	90.68	pyhmmer
1077974.SAMD00041782	4420	89.21	pyhmmer
1078085.SAMN02596733	3449	68.71	pyhmmer
1078086.SAMN02596734	8490	170.9	pyhmmer
1078505.SAMN02596731	5669	113.84	pyhmmer
1078773.SAMN04334956	4661	95.16	pyhmmer
1078846.SAMN02261317	4248	84.57	pyhmmer
1079859.SAMN04515674	5021	101.17	pyhmmer
1079986.SAMN02471828	7913	161.27	pyhmmer
1079994.SAMN04488565	2932	59.55	pyhmmer
1079.SAMN04123293	3260	65.09	pyhmmer
108003.SAMN06319236	3348	67.22	pyhmmer
1080068.SAMD00045841	4865	96.85	pyhmmer
1080071.SAMD00042493	2114	43.66	pyhmmer
108015.SAMN04487810	7776	153.37	pyhmmer
1080227.SAMN05007540	4376	87.62	pyhmmer
1081640.SAMN02470957	3815	76.76	pyhmmer
1081644.SAMN02469920	1364	28.56	pyhmmer
1082479.SAMN05216241	2827	57.86	pyhmmer
1082704.SAMN04363613	2892	58.46	pyhmmer
1082931.SAMN02604343	3878	76.97	pyhmmer
1082933.SAMN04853078	5740	115.36	pyhmmer
1082.SAMN04244559	3332	67.42	pyhmmer
108486.SAMN03197545	1873	39.17	pyhmmer
1085028.SAMN01940911	3026	58.53	pyhmmer
1085029.SAMN01940911	2833	58.1	pyhmmer
1085623.SAMN02603857	3654	73.27	pyhmmer
1085624.SAMN04120646	6508	130.56	pyhmmer
1086011.SAMN02471905	3590	70.82	pyhmmer
1086013.SAMN05421774	4020	82.02	pyhmmer
1086726.SAMN00993447	1100	24.78	pyhmmer
1087448.SAMN02603748	2772	56.03	pyhmmer
1088721.SAMN03002180	3453	68.7	pyhmmer
1088767.SAMN06041775	7839	157.27	pyhmmer
1088868.SAMN02470916	2210	45.37	pyhmmer
1088869.SAMN02470912	2849	57.05	pyhmmer
1089305.SAMN05444148	2811	56.68	pyhmmer
1089439.SAMN02256423	2724	55.15	pyhmmer
1089444.SAMN03067133	4155	84.61	pyhmmer
1089447.SAMN02471881	2150	43.41	pyhmmer
1089455.SAMD00041798	3112	63.84	pyhmmer
1089544.SAMN02261299	7971	157.51	pyhmmer
1089545.SAMN02256403	9720	195.33	pyhmmer
1089546.SAMN02261305	4876	98.4	pyhmmer
1089547.SAMN02261300	5298	106.56	pyhmmer
1089548.SAMN02597174	3516	71.94	pyhmmer
1089549.SAMN02597195	3193	63.93	pyhmmer
1089550.SAMN02441591	2764	56.92	pyhmmer
1089551.SAMN02441221	5157	103.15	pyhmmer
1089552.SAMN02597269	3784	77.09	pyhmmer
1089553.SAMN02603274	2824	56.53	pyhmmer
108980.SAMD00020356	2918	58.79	pyhmmer
108981.SAMN04956557	2754	55.56	pyhmmer
1090318.SAMN02441592	3596	72.12	pyhmmer
1090319.SAMN02441573	3559	71.48	pyhmmer
1090322.SAMN02597164	2917	58.99	pyhmmer
1090615.SAMN04515671	4407	88.06	pyhmmer
1091494.SAMEA3283107	3982	79.82	pyhmmer
109232.SAMEA4532341	1640	33.46	pyhmmer
1092.SAMN04217978	1841	37.42	pyhmmer
1094342.SAMN03965495	4148	83.09	pyhmmer
1094466.SAMEA3138809	2671	54.22	pyhmmer
1094489.SAMN02604270	1264	26.68	pyhmmer
1094491.SAMN02472039	1296	27.31	pyhmmer
1094492.SAMN02472034	1291	26.93	pyhmmer
1094497.SAMN02604271	1434	29.85	pyhmmer
1094508.SAMN02603686	2643	53.65	pyhmmer
1094551.SAMN02596909	1370	28.26	pyhmmer
1094556.SAMN02596903	1741	35.19	pyhmmer
1094558.SAMN02596906	1983	40.03	pyhmmer
1094562.SAMN02596904	1488	31.28	pyhmmer
1094564.SAMN02596902	1690	34.43	pyhmmer
1094715.SAMN02469353	3451	69.53	pyhmmer
1094755.SAMN02596898	1943	38.69	pyhmmer
1094980.SAMN00739943	3167	63.23	pyhmmer
1095009.SAMD00000511	6761	136.96	pyhmmer
1095025.SAMD00022564	2371	48.11	pyhmmer
1095026.SAMD00022569	2292	46.33	pyhmmer
1095552.SAMN02441220	4568	90.13	pyhmmer
1095727.SAMN00761857	1788	37.13	pyhmmer
1095752.SAMN00761833	2442	48.88	pyhmmer
1095767.PRJEA82281	3093	61.81	pyhmmer
1095768.PRJEA70551	4662	93.17	pyhmmer
1095769.PRJEA82325	3848	78.03	pyhmmer
1095770.PRJEA82283	1873	37.79	pyhmmer
1095772.PRJEA82329	2719	53.79	pyhmmer
1095776.SAMN04515672	4471	88.19	pyhmmer
1095778.SAMN04489842	4049	80.67	pyhmmer
1095900.SAMN02472046	1616	32.67	pyhmmer
1096769.SAMN02597166	1464	30.59	pyhmmer
1096856.SAMN03890614	5153	103.38	pyhmmer
109790.SAMN05596977	1469	31.39	pyhmmer
109790.SAMN06163224	1510	32.47	pyhmmer
1100700.SAMEA3448421	4330	86.5	pyhmmer
1100705.SAMEA3448420	2865	57.77	pyhmmer
1100719.SAMEA3448423	2762	55.34	pyhmmer
1100720.SAMN02470021	3329	67.74	pyhmmer
1100721.SAMEA3719354	2772	56.0	pyhmmer
1100.SAMN04571766	1922	39.36	pyhmmer
1101188.SAMN02597162	4556	91.45	pyhmmer
1101190.SAMN02256399	4159	83.58	pyhmmer
1101191.SAMN02584938	4600	91.83	pyhmmer
1101192.SAMN02256406	4248	86.12	pyhmmer
1101193.SAMN02746044	2343	46.87	pyhmmer
1101195.SAMN02849406	2593	51.79	pyhmmer
1101373.SAMN05194366	2431	48.81	pyhmmer
110319.SAMN02470782	3893	77.49	pyhmmer
1104324.SAMN02603094	2827	55.57	pyhmmer
1104566.SAMN02441253	4625	95.32	pyhmmer
1104568.SAMN02440391	933	20.3	pyhmmer
1104576.SAMN02441399	1180	25.05	pyhmmer
1104577.SAMN02440388	1308	26.79	pyhmmer
1104605.SAMN02440940	1162	24.77	pyhmmer
1104610.SAMN02441752	755	16.93	pyhmmer
1105031.SAMN00828787	3491	68.09	pyhmmer
110505.SAMN03793170	4515	90.64	pyhmmer
1105110.SAMN02603558	1239	24.9	pyhmmer
1105111.SAMN02603561	1298	26.44	pyhmmer
1105367.SAMN02673274	2781	55.58	pyhmmer
110662.SAMN02598311	2638	52.78	pyhmmer
110663.SAMN02597268	2855	57.2	pyhmmer
1107311.SAMN03078693	2848	56.64	pyhmmer
1108044.SAMD00041778	4943	98.28	pyhmmer
1108045.SAMD00041828	5930	117.81	pyhmmer
1108595.SAMN05761789	4497	90.73	pyhmmer
1108812.SAMN04216937	4435	89.52	pyhmmer
110935.SAMN03333328	3111	64.38	pyhmmer
1109412.SAMEA3201438	4966	97.85	pyhmmer
1109445.SAMN02470922	3887	77.92	pyhmmer
111015.SAMN04435863	2342	47.77	pyhmmer
1110502.SAMN02603926	3564	71.98	pyhmmer
1110504.SAMN02471344	728	17.74	pyhmmer
1110509.SAMN02603883	2353	48.0	pyhmmer
1110546.SAMD00028777	1941	39.97	pyhmmer
111105.SAMN03002870	1953	39.97	pyhmmer
1111069.SAMN02603100	2247	45.67	pyhmmer
1111130.SAMN02436400	2318	46.8	pyhmmer
1111134.SAMN02436477	1929	38.97	pyhmmer
1111454.SAMN02436562	2196	44.48	pyhmmer
1111479.SAMN02441451	3381	67.14	pyhmmer
1111676.SAMN02603733	1175	24.8	pyhmmer
1111728.SAMN02440598	4953	97.28	pyhmmer
1111729.SAMN02441223	2756	55.54	pyhmmer
1111730.SAMN02441252	2765	54.78	pyhmmer
1111732.SAMN02597183	1987	41.22	pyhmmer
1111735.SAMN02440603	4237	84.9	pyhmmer
1111737.SAMN02440599	4197	84.57	pyhmmer
1111738.SAMN02441562	3767	75.09	pyhmmer
1112204.SAMN02603285	4945	98.99	pyhmmer
1112209.SAMN02470160	2845	58.21	pyhmmer
1112212.SAMN02470172	3967	79.05	pyhmmer
1112214.SAMN02470159	4408	87.14	pyhmmer
1112215.SAMN02470161	3059	60.75	pyhmmer
1112216.SAMN02470169	4315	86.1	pyhmmer
1112273.SAMN02440439	2769	55.01	pyhmmer
1112274.SAMN02597270	2820	56.51	pyhmmer
1112.SAMN05176187	2793	56.56	pyhmmer
1113895.SAMD00048769	3395	68.04	pyhmmer
1114263.SAMN02597192	3918	78.11	pyhmmer
1114856.SAMN02261315	4736	94.2	pyhmmer
1114924.SAMN05216258	5322	107.1	pyhmmer
1114959.SAMN02469318	4554	90.79	pyhmmer
1114964.SAMN02899865	4621	90.56	pyhmmer
1114965.SAMN02603112	2019	42.07	pyhmmer
1114972.SAMN02369495	2635	54.56	pyhmmer
1115515.SAMD00018687	4196	82.47	pyhmmer
1115632.SAMN02584931	4751	94.53	pyhmmer
111611.SAMN04267304	3892	84.75	pyhmmer
1116213.SAMEA4532336	547	12.61	pyhmmer
1116369.SAMN02441719	5846	117.17	pyhmmer
1116391.SAMN02603387	7057	140.95	pyhmmer
1116472.SAMN02469828	3732	73.5	pyhmmer
1117314.SAMN02470923	4458	90.8	pyhmmer
1117319.SAMN02470926	4191	85.08	pyhmmer
1117379.SAMN02471785	5207	104.6	pyhmmer
1117647.SAMN02603035	3820	76.89	pyhmmer
1117702.SAMN04193360	3491	69.86	pyhmmer
1117707.SAMEA18850168	5077	100.67	pyhmmer
111780.SAMN02261352	4328	88.9	pyhmmer
111781.SAMN02232033	4228	85.32	pyhmmer
1117943.SAMEA2272089	3955	79.17	pyhmmer
1118054.PRJEA82077	5022	100.01	pyhmmer
1118056.PRJEA82075	1992	42.66	pyhmmer
1118057.PRJEA82079	1985	40.67	pyhmmer
1118059.PRJEA82277	1561	32.7	pyhmmer
1118060.PRJEA82083	1904	39.08	pyhmmer
1118061.PRJEA82085	2603	52.45	pyhmmer
1118062.PRJEA82275	1668	35.11	pyhmmer
1118153.SAMN00761066	3265	65.45	pyhmmer
1118202.SAMN05443429	2175	43.22	pyhmmer
1118379.SAMN06064248	3778	76.5	pyhmmer
1119528.SAMN02261290	3915	78.36	pyhmmer
1119528.SAMN02597194	3915	78.95	pyhmmer
1119533.SAMN04201528	3207	65.31	pyhmmer
1120523.SAMN04044472	7780	153.73	pyhmmer
1120568.SAMN03785586	3755	75.89	pyhmmer
1120658.SAMN03491740	5562	111.93	pyhmmer
1120688.SAMN03491939	5605	114.8	pyhmmer
1120705.SAMN02799687	3907	78.68	pyhmmer
1120746.SAMEA2602734	3518	70.24	pyhmmer
1120792.SAMN02584929	4105	83.07	pyhmmer
1120797.SAMN02441653	4314	85.65	pyhmmer
1120917.SAMN02441381	2261	45.1	pyhmmer
1120918.SAMN05216249	2640	55.03	pyhmmer
1120919.SAMN02441211	3818	76.06	pyhmmer
1120920.SAMN03080599	3280	65.66	pyhmmer
1120923.SAMN02746095	3922	78.98	pyhmmer
1120931.SAMN02441362	2499	50.08	pyhmmer
1120933.SAMN02441584	1638	34.04	pyhmmer
1120934.SAMN02441015	7248	144.27	pyhmmer
1120935.SAMN02441427	6332	126.46	pyhmmer
1120936.SAMN02441315	6215	125.81	pyhmmer
1120937.SAMN02441154	7550	152.89	pyhmmer
1120941.SAMN02440612	2842	58.12	pyhmmer
1120943.SAMN02441199	2817	57.28	pyhmmer
1120944.SAMN02745698	3305	66.16	pyhmmer
1120946.SAMN02440611	1928	39.13	pyhmmer
1120947.SAMN02441246	2036	41.94	pyhmmer
1120948.SAMN02256421	5651	114.36	pyhmmer
1120949.SAMN02256449	9974	202.82	pyhmmer
1120950.SAMN02440435	7340	147.98	pyhmmer
1120951.SAMN02440880	3621	71.78	pyhmmer
1120953.SAMN02441210	3402	70.44	pyhmmer
1120954.SAMN02440892	2633	54.48	pyhmmer
1120955.SAMN03080610	3672	72.91	pyhmmer
1120956.SAMN02743903	3668	74.24	pyhmmer
1120958.SAMN02440814	2588	52.11	pyhmmer
1120959.SAMN02441581	3366	67.64	pyhmmer
1120960.SAMN02441229	3945	79.84	pyhmmer
1120963.SAMN02441017	3966	79.12	pyhmmer
1120964.SAMD00016945	7976	176.27	pyhmmer
1120965.SAMN02441202	3635	73.6	pyhmmer
1120966.SAMN02440616	3881	79.14	pyhmmer
1120967.SAMN02440865	4928	96.94	pyhmmer
1120968.SAMN02441203	4025	82.09	pyhmmer
1120969.SAMN02440617	4386	89.85	pyhmmer
