sequence_id	protein_count	time	method
1051072.SAMN02603034	2087	25.11	pyhmmer
1051646.SAMN02940924	4455	53.07	pyhmmer
1051973.SAMN04521220	4804	50.97	pyhmmer
105219.SAMN03295199	4301	45.47	pyhmmer
1052260.SAMN05660199	4573	47.29	pyhmmer
1052801.SAMN02441387	1515	16.77	pyhmmer
1052810.SAMN02441744	1652	22.21	pyhmmer
1053648.SAMN02604250	116	2.59	pyhmmer
105420.SAMD00022875	7645	72.7	pyhmmer
1054213.SAMN02299459	5289	50.69	pyhmmer
1054217.SAMN02603168	1528	17.71	pyhmmer
1054860.SAMN02261248	6729	70.98	pyhmmer
1054996.SAMN05444414	3970	40.42	pyhmmer
1055526.PRJNA69825	2069	21.59	pyhmmer
105559.SAMN02598531	2861	32.24	pyhmmer
1055723.SAMN05216293	4048	45.82	pyhmmer
1055815.SAMN02597462	2999	34.7	pyhmmer
1056495.SAMN02261426	1478	17.37	pyhmmer
1056816.SAMN02584923	7727	78.83	pyhmmer
1056820.SAMN02256427	4400	56.29	pyhmmer
1057002.SAMN02261311	6451	67.15	pyhmmer
1058.SAMN05421783	4875	51.19	pyhmmer
1061.SAMN04166217	3350	35.62	pyhmmer
106370.SAMN02199398	4499	46.85	pyhmmer
1064535.SAMEA2272734	2220	26.19	pyhmmer
106592.SAMN02781308	3839	39.37	pyhmmer
106592.SAMN03838273	6606	67.13	pyhmmer
106592.SAMN05323829	6411	66.36	pyhmmer
106634.SAMN03571539	2672	30.03	pyhmmer
106648.SAMD00018636	4557	49.99	pyhmmer
106649.SAMD00018638	4572	50.36	pyhmmer
106654.SAMN06650244	3795	45.01	pyhmmer
1068975.SAMN02440712	3676	43.63	pyhmmer
1068978.SAMN02777954	7074	70.58	pyhmmer
1068980.SAMN02261308	8530	90.36	pyhmmer
1069080.SAMN02261323	1913	23.98	pyhmmer
1069081.SAMN05660197	1941	24.73	pyhmmer
1069083.SAMN02261307	1373	17.88	pyhmmer
1069220.SAMN06651658	3862	38.95	pyhmmer
1069448.SAMN02745916	5197	54.05	pyhmmer
1069534.SAMN02603606	1862	22.87	pyhmmer
1069536.SAMN02471147	2668	31.19	pyhmmer
1069642.SAMN02604232	3738	42.75	pyhmmer
1070130.SAMEA3725906	461	6.18	pyhmmer
1070319.SAMEA2272654	1475	14.98	pyhmmer
1070870.SAMN05444351	4571	46.27	pyhmmer
1071054.SAMN03406599	4515	49.0	pyhmmer
1071061.SAMN03273304	3924	44.77	pyhmmer
1071072.SAMN02469742	5249	58.55	pyhmmer
1071085.SAMN02469738	2822	30.62	pyhmmer
1071400.SAMN02603054	2314	27.67	pyhmmer
1071679.SAMN02671719	5938	61.53	pyhmmer
1071918.SAMN05421544	2134	23.23	pyhmmer
1072256.SAMN03480647	2163	24.5	pyhmmer
1072467.SAMN02604108	572	7.64	pyhmmer
1072583.SAMN02471366	3897	43.17	pyhmmer
1072685.SAMN02940631	1454	18.38	pyhmmer
1073325.SAMN05444483	3481	40.78	pyhmmer
1073327.SAMN04488108	4033	48.22	pyhmmer
1073328.SAMN05216294	3340	39.19	pyhmmer
1073353.SAMN02469328	2224	23.75	pyhmmer
1073362.SAMN00103446	2096	22.55	pyhmmer
1073376.SAMN01162081	2765	34.54	pyhmmer
1073423.SAMN04488700	2136	25.4	pyhmmer
1073574.SAMD00041783	3796	39.58	pyhmmer
1073842.SAMN04403367	4045	44.19	pyhmmer
1073996.SAMN05444271	3434	37.38	pyhmmer
1073999.SAMN03938712	3839	42.77	pyhmmer
1074467.SAMN02983013	2337	28.6	pyhmmer
1074488.SAMN02470219	2851	30.63	pyhmmer
1074889.SAMN02604332	540	7.25	pyhmmer
1075090.SAMD00041822	4691	49.71	pyhmmer
1075399.SAMN02604251	545	7.25	pyhmmer
1075402.SAMN04026263	4635	47.71	pyhmmer
1075417.SAMN05421823	5676	69.12	pyhmmer
1075768.SAMN02261310	5331	58.02	pyhmmer
107635.SAMN02597193	4611	48.38	pyhmmer
107636.SAMN02746043	4801	49.43	pyhmmer
107637.SAMN02841227	4739	54.11	pyhmmer
1076414.SAMN04407485	4730	52.25	pyhmmer
1076525.SAMN02440895	3589	39.68	pyhmmer
1076549.SAMN05907788	4498	48.07	pyhmmer
1076550.SAMN03031199	3795	43.98	pyhmmer
1076550.SAMN05907793	4986	56.1	pyhmmer
1076551.SAMN05907794	3765	41.08	pyhmmer
1076588.SAMD00060997	2812	34.12	pyhmmer
1076596.SAMN04396916	2534	26.38	pyhmmer
1076937.SAMN04488120	2509	27.66	pyhmmer
1077144.SAMN02470218	3152	32.14	pyhmmer
1077464.SAMN03334904	1796	21.68	pyhmmer
1077464.SAMN06705629	1751	21.41	pyhmmer
1077464.SAMN06705632	1780	22.15	pyhmmer
1077464.SAMN06705634	1786	23.35	pyhmmer
1077675.SAMN05420586	2824	33.62	pyhmmer
1077936.SAMN05421545	3901	46.82	pyhmmer
1077947.SAMN05216227	3818	37.25	pyhmmer
1077972.SAMD00041813	4529	47.72	pyhmmer
1077974.SAMD00041782	4420	46.81	pyhmmer
1078085.SAMN02596733	3449	37.9	pyhmmer
1078086.SAMN02596734	8490	90.44	pyhmmer
1078505.SAMN02596731	5669	65.29	pyhmmer
1078773.SAMN04334956	4661	55.46	pyhmmer
1078846.SAMN02261317	4248	46.71	pyhmmer
1079859.SAMN04515674	5021	61.48	pyhmmer
1079986.SAMN02471828	7913	85.61	pyhmmer
1079994.SAMN04488565	2932	33.42	pyhmmer
1079.SAMN04123293	3260	35.35	pyhmmer
108003.SAMN06319236	3348	34.9	pyhmmer
1080068.SAMD00045841	4865	52.53	pyhmmer
1080071.SAMD00042493	2114	25.99	pyhmmer
108015.SAMN04487810	7776	76.22	pyhmmer
1080227.SAMN05007540	4376	49.31	pyhmmer
1081640.SAMN02470957	3815	38.8	pyhmmer
1081644.SAMN02469920	1364	14.74	pyhmmer
1082479.SAMN05216241	2827	33.56	pyhmmer
1082704.SAMN04363613	2892	32.03	pyhmmer
1082931.SAMN02604343	3878	39.1	pyhmmer
1082933.SAMN04853078	5740	61.17	pyhmmer
1082.SAMN04244559	3332	37.75	pyhmmer
108486.SAMN03197545	1873	23.49	pyhmmer
1085028.SAMN01940911	3026	27.87	pyhmmer
1085029.SAMN01940911	2833	23.9	pyhmmer
1085623.SAMN02603857	3654	43.47	pyhmmer
1085624.SAMN04120646	6508	76.92	pyhmmer
1086011.SAMN02471905	3590	40.7	pyhmmer
1086013.SAMN05421774	4020	40.82	pyhmmer
1086726.SAMN00993447	1100	16.0	pyhmmer
1087448.SAMN02603748	2772	30.34	pyhmmer
1088721.SAMN03002180	3453	35.21	pyhmmer
1088767.SAMN06041775	7839	79.12	pyhmmer
1088868.SAMN02470916	2210	26.11	pyhmmer
1088869.SAMN02470912	2849	27.71	pyhmmer
1089305.SAMN05444148	2811	33.14	pyhmmer
1089439.SAMN02256423	2724	32.96	pyhmmer
1089444.SAMN03067133	4155	47.37	pyhmmer
1089447.SAMN02471881	2150	24.85	pyhmmer
1089455.SAMD00041798	3112	33.24	pyhmmer
1089544.SAMN02261299	7971	81.52	pyhmmer
1089545.SAMN02256403	9720	102.21	pyhmmer
1089546.SAMN02261305	4876	50.11	pyhmmer
1089547.SAMN02261300	5298	64.06	pyhmmer
1089548.SAMN02597174	3516	40.36	pyhmmer
1089549.SAMN02597195	3193	36.36	pyhmmer
1089550.SAMN02441591	2764	35.89	pyhmmer
1089551.SAMN02441221	5157	55.9	pyhmmer
1089552.SAMN02597269	3784	44.4	pyhmmer
1089553.SAMN02603274	2824	29.63	pyhmmer
108980.SAMD00020356	2918	34.38	pyhmmer
108981.SAMN04956557	2754	32.0	pyhmmer
1090318.SAMN02441592	3596	36.42	pyhmmer
1090319.SAMN02441573	3559	36.93	pyhmmer
1090322.SAMN02597164	2917	34.13	pyhmmer
1090615.SAMN04515671	4407	47.02	pyhmmer
1091494.SAMEA3283107	3982	45.78	pyhmmer
109232.SAMEA4532341	1640	14.53	pyhmmer
1092.SAMN04217978	1841	19.72	pyhmmer
1094342.SAMN03965495	4148	45.37	pyhmmer
1094466.SAMEA3138809	2671	32.53	pyhmmer
1094489.SAMN02604270	1264	15.3	pyhmmer
1094491.SAMN02472039	1296	15.94	pyhmmer
1094492.SAMN02472034	1291	15.01	pyhmmer
1094497.SAMN02604271	1434	16.73	pyhmmer
1094508.SAMN02603686	2643	31.99	pyhmmer
1094551.SAMN02596909	1370	15.33	pyhmmer
1094556.SAMN02596903	1741	18.86	pyhmmer
1094558.SAMN02596906	1983	21.72	pyhmmer
1094562.SAMN02596904	1488	18.03	pyhmmer
1094564.SAMN02596902	1690	17.79	pyhmmer
1094715.SAMN02469353	3451	39.62	pyhmmer
1094755.SAMN02596898	1943	20.3	pyhmmer
1094980.SAMN00739943	3167	31.72	pyhmmer
1095009.SAMD00000511	6761	50.54	pyhmmer
1095025.SAMD00022564	2371	26.81	pyhmmer
1095026.SAMD00022569	2292	25.86	pyhmmer
1095552.SAMN02441220	4568	49.83	pyhmmer
1095727.SAMN00761857	1788	22.29	pyhmmer
1095752.SAMN00761833	2442	29.26	pyhmmer
1095767.PRJEA82281	3093	32.25	pyhmmer
1095768.PRJEA70551	4662	50.01	pyhmmer
1095769.PRJEA82325	3848	43.04	pyhmmer
1095770.PRJEA82283	1873	21.01	pyhmmer
1095772.PRJEA82329	2719	29.74	pyhmmer
1095776.SAMN04515672	4471	51.39	pyhmmer
1095778.SAMN04489842	4049	47.38	pyhmmer
1095900.SAMN02472046	1616	17.73	pyhmmer
1096769.SAMN02597166	1464	16.81	pyhmmer
1096856.SAMN03890614	5153	51.49	pyhmmer
109790.SAMN05596977	1469	19.58	pyhmmer
109790.SAMN06163224	1510	19.71	pyhmmer
1100700.SAMEA3448421	4330	46.32	pyhmmer
1100705.SAMEA3448420	2865	30.97	pyhmmer
1100719.SAMEA3448423	2762	30.41	pyhmmer
1100720.SAMN02470021	3329	35.17	pyhmmer
1100721.SAMEA3719354	2772	30.49	pyhmmer
1100.SAMN04571766	1922	21.23	pyhmmer
1101188.SAMN02597162	4556	45.53	pyhmmer
1101190.SAMN02256399	4159	41.6	pyhmmer
1101191.SAMN02584938	4600	44.73	pyhmmer
1101192.SAMN02256406	4248	42.43	pyhmmer
1101193.SAMN02746044	2343	26.05	pyhmmer
1101195.SAMN02849406	2593	29.78	pyhmmer
1101373.SAMN05194366	2431	26.95	pyhmmer
110319.SAMN02470782	3893	39.72	pyhmmer
1104324.SAMN02603094	2827	28.19	pyhmmer
1104566.SAMN02441253	4625	54.95	pyhmmer
1104568.SAMN02440391	933	11.42	pyhmmer
1104576.SAMN02441399	1180	13.52	pyhmmer
1104577.SAMN02440388	1308	13.35	pyhmmer
1104605.SAMN02440940	1162	13.1	pyhmmer
1104610.SAMN02441752	755	8.06	pyhmmer
1105031.SAMN00828787	3491	35.87	pyhmmer
110505.SAMN03793170	4515	44.84	pyhmmer
1105110.SAMN02603558	1239	13.67	pyhmmer
1105111.SAMN02603561	1298	13.34	pyhmmer
1105367.SAMN02673274	2781	28.21	pyhmmer
110662.SAMN02598311	2638	24.53	pyhmmer
110663.SAMN02597268	2855	26.51	pyhmmer
1107311.SAMN03078693	2848	32.32	pyhmmer
1108044.SAMD00041778	4943	52.52	pyhmmer
1108045.SAMD00041828	5930	62.78	pyhmmer
1108595.SAMN05761789	4497	49.71	pyhmmer
1108812.SAMN04216937	4435	48.34	pyhmmer
110935.SAMN03333328	3111	32.86	pyhmmer
1109412.SAMEA3201438	4966	54.31	pyhmmer
1109445.SAMN02470922	3887	42.37	pyhmmer
111015.SAMN04435863	2342	26.69	pyhmmer
1110502.SAMN02603926	3564	36.51	pyhmmer
1110504.SAMN02471344	728	11.24	pyhmmer
1110509.SAMN02603883	2353	25.05	pyhmmer
1110546.SAMD00028777	1941	24.54	pyhmmer
111105.SAMN03002870	1953	22.98	pyhmmer
1111069.SAMN02603100	2247	23.6	pyhmmer
1111130.SAMN02436400	2318	28.76	pyhmmer
1111134.SAMN02436477	1929	24.15	pyhmmer
1111454.SAMN02436562	2196	23.5	pyhmmer
1111479.SAMN02441451	3381	35.08	pyhmmer
1111676.SAMN02603733	1175	11.38	pyhmmer
1111728.SAMN02440598	4953	52.96	pyhmmer
1111729.SAMN02441223	2756	30.71	pyhmmer
1111730.SAMN02441252	2765	31.54	pyhmmer
1111732.SAMN02597183	1987	24.64	pyhmmer
1111735.SAMN02440603	4237	47.2	pyhmmer
1111737.SAMN02440599	4197	45.65	pyhmmer
1111738.SAMN02441562	3767	41.64	pyhmmer
1112204.SAMN02603285	4945	54.41	pyhmmer
1112209.SAMN02470160	2845	35.37	pyhmmer
1112212.SAMN02470172	3967	39.27	pyhmmer
1112214.SAMN02470159	4408	42.79	pyhmmer
1112215.SAMN02470161	3059	33.8	pyhmmer
1112216.SAMN02470169	4315	43.4	pyhmmer
1112273.SAMN02440439	2769	31.55	pyhmmer
1112274.SAMN02597270	2820	31.99	pyhmmer
1112.SAMN05176187	2793	28.6	pyhmmer
1113895.SAMD00048769	3395	38.39	pyhmmer
1114263.SAMN02597192	3918	43.53	pyhmmer
1114856.SAMN02261315	4736	52.11	pyhmmer
1114924.SAMN05216258	5322	54.09	pyhmmer
1114959.SAMN02469318	4554	47.56	pyhmmer
1114964.SAMN02899865	4621	44.28	pyhmmer
1114965.SAMN02603112	2019	25.88	pyhmmer
1114972.SAMN02369495	2635	33.44	pyhmmer
1115515.SAMD00018687	4196	46.53	pyhmmer
1115632.SAMN02584931	4751	51.66	pyhmmer
111611.SAMN04267304	3892	54.77	pyhmmer
1116213.SAMEA4532336	547	7.1	pyhmmer
1116369.SAMN02441719	5846	59.42	pyhmmer
1116391.SAMN02603387	7057	78.99	pyhmmer
1116472.SAMN02469828	3732	40.95	pyhmmer
1117314.SAMN02470923	4458	55.09	pyhmmer
1117319.SAMN02470926	4191	51.91	pyhmmer
1117379.SAMN02471785	5207	57.56	pyhmmer
1117647.SAMN02603035	3820	44.66	pyhmmer
1117702.SAMN04193360	3491	37.09	pyhmmer
1117707.SAMEA18850168	5077	59.04	pyhmmer
111780.SAMN02261352	4328	53.71	pyhmmer
111781.SAMN02232033	4228	51.15	pyhmmer
1117943.SAMEA2272089	3955	41.39	pyhmmer
1118054.PRJEA82077	5022	54.95	pyhmmer
1118056.PRJEA82075	1992	27.65	pyhmmer
1118057.PRJEA82079	1985	24.46	pyhmmer
1118059.PRJEA82277	1561	19.56	pyhmmer
1118060.PRJEA82083	1904	22.34	pyhmmer
1118061.PRJEA82085	2603	29.37	pyhmmer
1118062.PRJEA82275	1668	21.13	pyhmmer
1118153.SAMN00761066	3265	37.77	pyhmmer
1118202.SAMN05443429	2175	24.23	pyhmmer
1118379.SAMN06064248	3778	40.4	pyhmmer
1119528.SAMN02261290	3915	41.68	pyhmmer
1119528.SAMN02597194	3915	41.87	pyhmmer
1119533.SAMN04201528	3207	37.56	pyhmmer
1120523.SAMN04044472	7780	83.23	pyhmmer
1120568.SAMN03785586	3755	37.98	pyhmmer
1120658.SAMN03491740	5562	57.25	pyhmmer
1120688.SAMN03491939	5605	56.69	pyhmmer
1120705.SAMN02799687	3907	40.21	pyhmmer
1120746.SAMEA2602734	3518	39.83	pyhmmer
1120792.SAMN02584929	4105	41.62	pyhmmer
1120797.SAMN02441653	4314	44.2	pyhmmer
1120917.SAMN02441381	2261	24.89	pyhmmer
1120918.SAMN05216249	2640	34.26	pyhmmer
1120919.SAMN02441211	3818	37.96	pyhmmer
1120920.SAMN03080599	3280	37.31	pyhmmer
1120923.SAMN02746095	3922	38.95	pyhmmer
1120931.SAMN02441362	2499	28.17	pyhmmer
1120933.SAMN02441584	1638	21.16	pyhmmer
1120934.SAMN02441015	7248	74.21	pyhmmer
1120935.SAMN02441427	6332	68.36	pyhmmer
1120936.SAMN02441315	6215	62.96	pyhmmer
1120937.SAMN02441154	7550	79.52	pyhmmer
1120941.SAMN02440612	2842	31.92	pyhmmer
1120943.SAMN02441199	2817	31.08	pyhmmer
1120944.SAMN02745698	3305	35.57	pyhmmer
1120946.SAMN02440611	1928	22.89	pyhmmer
1120947.SAMN02441246	2036	23.89	pyhmmer
1120948.SAMN02256421	5651	55.74	pyhmmer
1120949.SAMN02256449	9974	107.32	pyhmmer
1120950.SAMN02440435	7340	73.38	pyhmmer
1120951.SAMN02440880	3621	41.81	pyhmmer
1120953.SAMN02441210	3402	44.5	pyhmmer
1120954.SAMN02440892	2633	29.45	pyhmmer
1120955.SAMN03080610	3672	39.68	pyhmmer
1120956.SAMN02743903	3668	38.92	pyhmmer
1120958.SAMN02440814	2588	28.03	pyhmmer
1120959.SAMN02441581	3366	36.48	pyhmmer
1120960.SAMN02441229	3945	42.77	pyhmmer
1120963.SAMN02441017	3966	45.89	pyhmmer
1120964.SAMD00016945	7976	52.13	pyhmmer
1120965.SAMN02441202	3635	43.14	pyhmmer
1120966.SAMN02440616	3881	45.34	pyhmmer
1120967.SAMN02440865	4928	55.81	pyhmmer
